,0,1
999,rougegoat,8
1000,magalic,4
1001,ohheyvoid,8
1002,jlowe,4
1003,flying_elephant,8
1004,dylanwind,7
1005,gabriszka,7
1006,fayedrilentine,10
1007,irelynpelka,10
1008,dreacatherine,7
1009,ezequiel2517,9
1010,rj_macready,6
1011,peepeepooopoo,8
1012,youbetterwatch,5
1013,munjai,8
1014,tyvis,6
1015,arck,6
1016,jamesnsummers,2
1017,challie67,7
1018,gsalis,6
1019,sayheyrah,7
1020,stellaschneider,4
1021,jupap24,6
1022,schhhwabie,5
1023,kmrados,6
1024,jillischill_,7
1025,cinemastreets,7
1026,ashlyndunn,7
1027,lizkavanagh,1
1028,seandooolan,6
1029,elenamichael,2
1030,heirrress,6
1031,summermae,10
1032,jerbigelow,7
1033,cbourgeois48,8
1034,davidrind,5
1035,lilydear,5
1036,mrsmagic,2
1037,heyimajoe,2
1038,astrovirus7,5
1039,iwishiwasafinch,6
1040,interjaketion,6
1041,juptoonk,4
1042,koswald17,8
1043,beanbagsflicks,6
1044,adalauren,6
1045,bpennick,4
1046,brucecampbelled,4
1047,audtree,6
1048,cedric_diggory,4
1049,ondreya_seahorn,6
1050,mailman007,5
1051,kelseyshea,5
1052,ishanparikh,5
1053,abkayej,6
1054,maybegreat,6
1055,gike3,5
1056,kimye4ever,2
1057,livelysanders,6
1058,bonniebee,4
1059,jack_black,5
1060,nikkimori,5
1061,fazazzle,6
1062,merlinkiliemrys,4
1063,fallenangel,6
1064,zeppom,4
1065,lberkman,6
1066,bridgeleav,5
1067,allcatsrgrey,5
1068,karinar,5
1069,ameliavaught,6
1070,satchey,4
1071,alxmllr,6
1072,glitterdocs,3
1073,fridgeaddict,1
1074,jithmi,6
1075,oxymoron327,6
1076,zamane,4
1077,kymattson,4
1078,bea29,6
1079,samneill,5
1080,chucksmash27,6
1081,mcw2pc,5
1082,honeybunbitch,1
1083,estherwaters,5
1084,gabriellemilman,6
1085,fruitydinobite,4
1086,patriciaw04,6
1087,loganlongacre,6
1088,amygirl98,6
1089,0bella0,4
1090,rachelhuns,4
1091,justadambeaver,6
1092,dannysdick66,8
1093,rigatooni,1
1094,jullman21,5
1095,therealyakul,8
1096,maurensparrow,6
1097,trillcloud,6
1098,alyssajemiolo,6
1099,dominicoe,7
1100,rociosergio,8
1101,khuzyagaleeva,7
1102,bigboyhenry,8
1103,rednaxela5,5
1104,bwuddercwup,8
1105,bbmbaby,7
1106,ria444,8
1107,captainmaxerica,1
1108,brissa_a,4
1109,brother_jav,2
1110,odcode,5
1111,jogiiswatching,8
1112,scotty3chainz,3
1113,rcowper,7
1114,collin_wehr,4
1115,djkinney13,8
1116,flicklover55,6
1117,teiganbeck,8
1118,gsmith2,3
1119,torolb,6
1120,marissa22,6
1121,aredmond37,2
1122,adamsannika,7
1123,mcanavan17,5
1124,calebrc,4
1125,justinrizo,6
1126,emilyygift,7
1127,jorgeriveira14,5
1128,_carolinagarc,3
1129,abbytron,6
1130,blake_chatt,7
1131,justinliberman,7
1132,scottdillon,6
1133,2percentwill,6
1134,candegsmurra,5
1135,_hayden__booth_,5
1136,huntte49,10
1137,danilocpaz,5
1138,netomarcus,9
1139,californiamaqui,7
1140,tim2324,8
1141,cine_crawler,6
1142,irequirechocola,7
1143,goth_vader,6
1144,amarachi,6
1145,kevinholmes,4
1146,faesbook,10
1147,ksambl,10
1148,notangelaaa,5
1149,letterstolex,7
1150,aoifew,6
1151,curtisjmedina,6
1152,colorss,10
1153,jongoodboy,5
1154,uriel_ukko,7
1155,noemiw,5
1156,krawce,7
1157,leocohen,7
1158,terratrini,8
1159,mickxel,7
1160,floppyadult,6
1161,artvandelay37,9
1162,edulacerda,7
1163,dabulk2,7
1164,mad3lyn_,9
1165,vsartorio,7
1166,noacapelas,8
1167,phoswo136,5
1168,softyoungcynic,6
1169,jcodoyannis,4
1170,hcarroll99,7
1171,magnusacollins,7
1172,sofanadal,9
1173,ghostman10,8
1174,lucasgomes,6
1175,tata0911,8
1176,esett,3
1177,jeffries777,7
1178,foscasbalcony,8
1179,sctully3,6
1180,americo,5
1181,bellamoraes,7
1182,stimon99,5
1183,algebros,8
1184,diegolubezki,6
1185,sondrelerche,5
1186,thedanascully,10
1187,leccornie,6
1188,memideus,7
1189,larottanelson,8
1190,bananarama_moon,6
1191,flipp,6
1192,jonathonrl,9
1193,ageofimpala,7
1194,jhb995,8
1195,heyizlan,6
1196,obsessiveviewer,4
1197,elalexgaray,7
1198,pedro_machado,7
1199,doingyomum,5
1200,gabo,4
1201,chelo24_,6
1202,likeluan,3
1203,bellsimoes,3
1204,joelelessar,7
1205,beatgirl,7
1206,mfoolonly,7
1207,robinnette,8
1208,tameimpaula,10
1209,shreyansh344,8
1210,katiezhu,3
1211,brunafeitosa,6
1212,gabrielppace,8
1213,renata_13,8
1214,edvardcat,5
1215,nikkoxaustria,6
1216,espinaviva,8
1217,soligless,10
1218,igluz,5
1219,mike_lord,7
1220,amihighno,7
1221,nathaliaserra,7
1222,yeremaia,10
1223,diplodocus00,4
1224,raygsalas,7
1225,albertorules,6
1226,nikiiisn,10
1227,felipebautista,8
1228,mazepo,10
1229,xgimoon,10
1230,emilio_16,10
1231,razielmcr,7
1232,fatabels,3
1233,sparan54,6
1234,jimena_lgro,8
1235,manoelmagalhaes,7
1236,benaiatavares,10
1237,trishcxi,10
1238,hgignac,6
1239,vuintrieri,6
1240,dmntngr,8
1241,punkik,7
1242,casasol,7
1243,chelsgmb,8
1244,souchousama,5
1245,avrilshoe,8
1246,widsith,7
1247,cardosososo,8
1248,sharenikes,5
1249,rafer1410,5
1250,mrhoward,5
1251,apoorv_,8
1252,nbfranklin,4
1253,laurenthemself,1
1254,charlestae28,6
1255,pandxsonic,8
1256,littleshadow,7
1257,allaneuzebio,6
1258,luizbarros,8
1259,bedioyskin,8
1260,renatodoho,6
1261,rangelgandrade,8
1262,motoqueiroghost,8
1263,marsuafa,6
1264,dstrangelove,8
1265,vindsval83,6
1266,stevequick,7
1267,mrdrenzaria,3
1268,grayeagle,8
1269,andreleporati,7
1270,cebad4,8
1271,ftzeitgeist,7
1272,cinthyajer,8
1273,pattygibs,7
1274,rifat_16,9
1275,whatdyousay,4
1276,mmccc,5
1277,bauti_blachere,9
1278,thecaluminati,7
1279,coeurparigino,8
1280,caprinosaltarin,7
1281,alesantillan,9
1282,yyouth,8
1283,victorcastro,8
1284,marianafalconi,8
1285,pedroandralme,5
1286,miguelsson,8
1287,antonio_aw,7
1288,micahwimmer,6
1289,007bernal,6
1290,davidnp78,4
1291,alexactonjones,6
1292,j9cookie,2
1293,sellito,7
1294,sofialima,4
1295,marveriss,10
1296,gabriela_brlz,7
1297,daniel_rosales,8
1298,brijandez,8
1299,nachoschz,6
1300,chargingbull,10
1301,gera_mamon,7
1302,pedrosaviolli,10
1303,laripinneiro,7
1304,hayando,7
1305,diegogmzm,6
1306,leodelrio,6
1307,zac007,6
1308,moraisf,8
1309,onortista,8
1310,vicadiaz,9
1311,lara123lara,7
1312,alonsodv,7
1313,guilhermeross,9
1314,avessa,5
1315,maryunu28,6
1316,isabellamadrid,7
1317,anahisinvida,4
1318,lovxseamon,8
1319,cweaks,5
1320,keishaaugustin,6
1321,jusbow5,7
1322,isolctions,5
1323,aoorson,6
1324,aannggeellaa,7
1325,madeleinehaley,8
1326,jackspira,6
1327,stellxz,7
1328,liam12345,3
1329,trinaray,5
1330,izzie_m,8
1331,oliverspira,7
1332,claramusick,4
